phase,posts,total_eng,median_eng,mean_eng
Pre-Launch,175,301822,594.0,1724.7
Launch Spike,52,117272,577.5,2255.2
Amplification,108,236008,610.5,2185.3
Sustained,693,2044651,725.0,2950.4
